City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
310,Kampong Cham,KH,11.9934,105.4635,94.08,38,21,2.73,few clouds
311,Rio Grande,BR,-32.035,-52.0986,66.31,63,2,9.31,clear sky
312,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,9.22,clear sky
313,Gat,IL,31.61,34.7642,49.41,100,96,7.25,overcast clouds
314,Aden,YE,12.7794,45.0367,76.48,71,96,8.72,overcast clouds
315,Huanuco,PE,-9.9329,-76.2415,62.67,80,100,3.6,light rain
316,Vardo,NO,70.3705,31.1107,32.14,59,100,20.89,overcast clouds
317,Ajdabiya,LY,30.7554,20.2263,53.1,64,41,12.01,scattered clouds
318,Severo-Kurilsk,RU,50.6789,156.125,22.87,71,100,22.68,light snow
319,Suntar,RU,62.1444,117.6319,-4.92,94,41,5.99,scattered clouds
320,Pauini,BR,-7.7136,-66.9764,72.66,99,100,2.37,moderate rain
321,Kirkenes,NO,69.7271,30.0458,16.75,92,100,5.75,overcast clouds
322,Amga,RU,60.8953,131.9608,-9.85,94,100,4.16,overcast clouds
323,Abnub,EG,27.2696,31.1511,37.62,57,1,4.61,clear sky
324,Naryan-Mar,RU,67.6713,53.087,6.84,94,100,12.71,overcast clouds
325,Chara,RU,56.9064,118.2631,-4.97,94,26,1.34,scattered clouds
326,Vikhorevka,RU,56.1201,101.1636,1.24,88,91,2.82,overcast clouds
327,Dingle,PH,10.9995,122.6711,87.01,65,72,5.28,broken clouds
328,Malumfashi,NG,11.7853,7.6218,56.82,22,6,14.2,clear sky
329,Kaeo,NZ,-35.1,173.7833,71.33,68,95,11.59,overcast clouds
330,Huarmey,PE,-10.0681,-78.1522,70.11,85,100,6.91,overcast clouds
331,Takoradi,GH,4.8845,-1.7554,76.91,84,12,1.52,few clouds
332,Eureka,US,40.8021,-124.1637,45.79,79,40,4.32,scattered clouds
333,Havoysund,NO,70.9963,24.6622,18.48,79,90,9.26,overcast clouds
334,Muyinga,BI,-2.8333,30.3333,64.54,78,98,1.16,overcast clouds
335,Calama,CL,-22.4667,-68.9333,50.49,57,7,12.66,clear sky
336,Marsa Matruh,EG,31.3525,27.2453,46.6,87,20,10.36,few clouds
337,Solnechnyy,RU,50.7214,136.6319,-0.15,88,98,2.46,overcast clouds
338,Ko Samui,TH,9.5357,99.9357,87.71,62,20,11.5,few clouds
339,Belmonte,BR,-15.8631,-38.8828,75.7,87,42,4.41,scattered clouds
340,Tura,IN,25.5198,90.2201,69.58,31,0,3.8,clear sky
341,Severo-Yeniseyskiy,RU,60.3725,93.0408,5.67,91,99,7.52,light snow
342,Midland,US,31.9974,-102.0779,36.95,43,0,6.91,clear sky
